Year ,January,February,March,April,May,June,July,August,September,October,November,December
1951,-2.8,6.6,11.8,16.2,21.1,25.4,24.4,20.2,10.9,5.6,-2,-2.8
1952,-4.3,2,4.2,10,15.1,19.4,24.1,24.7,20.7,15.6,4.8,2.5
1953,0.1,2.3,2.2,10.3,15.7,20.4,23.3,24.1,19.6,13.3,3.5,-5.1
1954,-2.3,-0.8,4.2,9.2,15.7,21.1,24,25,19.8,14.1,6.4,2.1
1955,-0.6,4.1,5.6,11.8,15.5,20.9,24.1,24.1,20.5,14.2,6.6,1.3
1956,-1,2.6,2.2,9.2,14.2,20.3,23.8,24.3,17.5,12.9,5.3,-2.4
1957,-5.7,-3.7,4.5,10.1,14.7,18.6,23.1,23.7,21.6,11.9,5.1,0.1
1958,0.5,-0.1,8.5,12.2,17.3,20.7,23.6,23.4,19.3,12.2,3.8,-1
1959,0.3,-4.7,2.9,13.9,15.3,20.5,24.9,23.8,19.6,13,5.3,-0.7
1960,0.9,3.2,3.2,9.8,18.4,22.2,23.9,24.7,21.7,14.8,7,2.3
1961,-2.1,0.2,3.2,10.3,18,23.9,27,25.4,19.4,13.9,6.7,3
1962,-3.4,0.4,8.2,10.1,17.7,21.4,27.6,25.5,20.9,13.5,6.9,2.9
1963,2.7,4.2,4.2,11.1,13.8,20.9,25.8,24.2,21.8,14.9,6.4,-2.4
1964,-13.1,-1.7,6.5,8.2,17.3,23.2,25.7,24.8,20.8,12.8,6.7,-1.3
1965,-5,-2.7,5.8,8.7,17.3,21.8,25.2,26.7,20.5,10.5,6.2,2.2
1966,3.8,3.3,5.6,10.9,16.3,23.8,26.8,27,20.2,13.2,9.1,2.8
1967,-2.7,-5.2,2.4,7.9,16.2,19.7,23.4,25.5,19.8,13.7,6.5,-1.3
1968,-3,-1.3,4.4,10.9,16.1,19.1,25.7,24.4,21.4,14.9,7.4,1.9
1969,-2.3,-2.9,5.7,9.5,17.3,22.7,23.7,25.5,19.5,12.6,4.2,2.9
1970,0,3,6.9,13,16.8,21.9,24.5,25.1,20.2,13.5,8.8,-1
1971,-6.8,-1.9,7.2,9.8,17.8,20.8,27.3,26.2,24.1,13.5,6.9,-0.3
1972,-7.7,-8.7,1.1,12.3,13.8,21,26.4,24.1,21.7,16.7,5.2,-3
1973,-6.1,-1.2,4.6,9.8,15.5,20.5,25.3,27,21.2,15.3,4,-3.3
1974,-6.7,-4.8,4.2,8.9,18.3,23.3,23.8,23.6,18.7,15.2,8.2,-0.3
1975,-1.8,0.4,4.3,14.4,16.7,23.4,27.6,25.9,20.7,12.5,5.6,-2.1
1976,-0.9,-2.6,2.7,10.6,14.8,21.6,25,27.8,20.4,13.5,6.6,3.2
1977,-5.3,2.3,7.4,11.9,16.2,22.8,24.7,25.7,22.1,11.2,-,-0.2
1978,0,2.9,7.5,11.3,16,19.6,26,25.4,22.9,15.3,1.5,2.6
1979,-0.7,4.1,5.5,12.3,16.8,20.3,26.3,26.9,23.5,14.6,8.6,1.8
1980,-3.2,-0.1,5.1,11.3,17.3,22.9,28.7,25.3,20.3,12.6,7.4,2.7
1981,-0.9,2.1,6.7,9.4,14.4,20.2,25.3,25.1,21.9,14.3,5.9,3.1
1982,-3.2,-3,2.7,13.2,16.4,21.3,25.7,23.7,21,11.2,1.5,-5.4
1983,-8.1,-4.1,3.8,10.9,16.9,21.8,27.3,25.1,20.1,13.3,9.3,1
1984,-0.3,-0.7,6.6,11.5,13.5,21.9,27.6,24.4,21.7,13.4,6.3,-2.7
