UNIX_TS,WHE,RSE,GRE,MHE,B1E,BME,CWE,DWE,EQE,FRE,HPE,OFE,UTE,WOE,B2E,CDE,DNE,EBE,FGE,HTE,OUE,TVE,UNE
1333263600,918,43,2,873,0,352,0,0,41,106,36,62,9,0,58,0,30,0,0,4,0,37,138
1333263660,913,43,0,870,0,354,0,0,35,107,37,61,9,0,58,0,30,0,0,4,0,37,138
1333263720,872,43,2,827,0,354,0,0,41,107,38,61,9,0,8,0,30,0,0,4,0,37,138
1333263780,872,43,2,827,0,354,0,0,40,106,37,61,9,0,7,0,30,0,0,4,0,37,142
1333263840,772,41,2,729,0,352,0,0,40,106,36,61,9,0,8,0,31,0,0,4,0,37,45
1333263900,881,43,2,836,0,459,0,0,40,108,36,61,9,0,8,0,31,0,0,4,0,37,43
1333263960,1005,180,2,823,0,454,0,0,40,106,37,61,9,0,8,0,30,0,0,4,0,37,37
1333264020,1124,173,0,951,0,445,0,0,40,105,37,60,9,0,7,0,30,0,0,4,0,38,176
1333264080,1096,171,0,925,0,440,0,0,40,106,37,61,9,0,7,0,31,0,0,4,0,38,152
1333264140,1046,173,2,871,0,444,0,0,40,106,36,15,9,0,8,0,30,0,0,4,0,38,141
1333264200,1051,171,0,880,0,444,0,0,40,106,36,19,9,0,7,0,30,0,0,4,0,38,147
1333264260,1055,171,4,880,0,451,0,0,41,106,36,15,9,0,8,0,30,0,0,4,0,37,143
1333264320,1051,171,0,880,0,443,0,0,40,106,37,15,9,0,8,0,30,0,0,4,0,38,150
1333264380,2467,169,0,2298,0,456,0,0,40,115,1429,15,9,0,8,0,31,0,0,4,0,38,153
1333264440,2796,169,2,2625,0,447,0,0,42,114,1630,15,9,0,8,0,31,0,143,4,0,38,144
1333264500,2874,169,4,2701,0,455,0,0,40,114,1719,15,9,0,8,0,31,0,130,4,0,37,139
1333264560,2910,171,4,2735,0,454,0,0,40,114,1753,15,9,0,8,0,31,0,127,4,0,37,143
1333264620,2924,169,2,2753,0,447,0,0,44,113,1773,15,9,0,8,0,31,0,127,4,0,38,144
1333264680,2787,43,2,2742,0,440,0,0,40,114,1757,14,9,0,8,0,31,0,125,4,0,37,163
1333264740,2696,43,2,2651,0,452,0,0,40,113,1761,14,9,0,8,0,29,0,124,4,0,38,59
1333264800,2677,41,0,2636,0,443,0,0,30,113,1771,15,9,0,8,0,28,0,123,4,0,38,54
1333264860,2705,41,0,2664,0,446,0,0,40,114,1776,19,9,0,8,0,28,0,122,4,0,37,61
1333264920,2705,41,0,2664,0,453,0,0,40,113,1783,15,9,0,8,0,27,0,122,4,0,38,52
1333264980,2595,43,4,2548,0,456,0,0,40,114,1792,15,9,0,8,0,26,0,0,4,0,37,47
1333265040,2600,41,4,2555,0,459,0,0,40,114,1790,15,9,0,8,0,24,0,0,4,0,37,55
1333265100,2595,41,2,2552,0,444,0,0,40,115,1795,19,9,0,8,0,24,0,0,4,0,38,56
1333265160,2609,43,2,2564,0,449,0,0,40,115,1799,15,9,0,8,0,23,0,0,4,0,38,64
1333265220,2595,43,2,2550,0,447,0,0,41,114,1798,15,9,0,8,0,23,0,0,4,0,38,53
1333265280,2613,43,0,2570,0,451,0,0,40,114,1802,18,9,0,8,0,22,0,10,4,0,38,54
1333265340,2618,43,2,2573,0,454,0,0,40,114,1808,15,9,0,8,0,21,0,9,4,0,38,53
1333265400,2613,43,0,2570,0,445,0,0,41,114,1807,19,9,0,8,0,21,0,0,4,0,38,64
1333265460,2600,41,0,2559,0,444,0,0,40,113,1807,15,9,0,8,0,21,0,0,4,0,38,60
1333265520,2609,41,2,2566,0,445,0,0,40,114,1809,15,9,0,8,0,21,0,0,4,0,37,64
1333265580,2618,43,0,2575,0,455,0,0,43,114,1811,18,9,0,8,0,21,0,0,4,0,38,54
1333265640,2618,43,0,2575,0,454,0,0,40,114,1816,15,9,0,8,0,21,0,0,4,0,37,57
1333265700,2623,43,2,2578,0,456,0,0,40,114,1815,19,9,0,8,0,21,0,0,4,0,37,55
1333265760,2741,185,2,2554,0,452,0,0,30,114,1815,15,9,0,8,0,21,0,0,4,0,38,48
1333265820,913,173,2,738,0,452,0,0,40,106,0,17,9,0,8,0,21,0,0,4,0,38,43
1333265880,886,171,2,713,0,444,0,0,40,108,1,15,9,0,8,0,21,0,0,4,0,39,24
1333265940,900,173,2,725,0,438,0,0,40,106,1,15,9,0,8,0,21,0,0,4,0,37,46
1333266000,909,171,0,738,0,451,0,0,40,106,1,19,9,0,8,0,21,0,0,4,0,38,41
1333266060,900,171,2,727,0,451,0,0,40,107,0,15,9,0,7,0,21,0,0,4,0,38,35
1333266120,913,169,0,744,0,452,0,0,40,107,0,15,9,0,8,0,21,0,10,4,0,37,41
1333266180,996,171,0,825,0,457,0,0,40,108,1,18,9,0,8,0,21,0,6,4,0,37,116
1333266240,1160,171,2,987,0,456,0,0,40,106,1,15,9,0,8,0,21,0,7,4,0,37,283
1333266300,1147,169,0,978,0,459,0,0,40,106,1,18,9,0,8,0,21,0,6,4,0,38,268
1333266360,1119,166,2,951,0,455,0,0,41,106,1,15,9,0,8,0,21,0,6,4,0,38,247
1333266420,1270,169,0,1101,0,454,0,0,40,106,1,19,9,1,8,0,21,0,148,4,0,38,252
1333266480,1028,41,4,983,0,456,0,0,40,106,1,15,9,0,8,0,21,0,137,4,0,38,148
1333266540,1032,43,0,989,0,455,0,0,42,106,1,15,9,0,8,0,21,0,135,4,0,38,155
1333266600,1019,43,2,974,0,452,0,0,40,106,1,19,9,0,8,0,21,0,134,4,0,38,142
1333266660,1023,41,4,978,0,460,0,0,40,106,1,14,9,0,8,0,21,0,133,4,0,38,144
1333266720,621,41,2,578,0,49,0,0,45,107,1,18,9,0,8,0,21,0,133,5,0,38,144
1333266780,626,43,4,579,0,27,0,0,40,106,41,15,9,0,8,0,20,0,132,5,0,38,138
1333266840,621,43,4,574,0,27,0,0,40,106,39,15,9,0,7,0,20,0,132,5,0,38,136
1333266900,525,41,0,484,0,27,0,0,31,106,38,19,9,0,7,0,19,0,132,5,0,38,53
1333266960,511,41,2,468,0,27,0,0,41,106,38,17,9,1,8,0,17,0,131,5,0,38,30
1333267020,520,43,0,477,0,27,0,0,40,106,37,15,9,0,7,0,18,0,130,5,0,38,45
1333267080,516,41,2,473,0,27,0,0,40,107,38,15,9,0,7,0,16,0,130,5,0,37,42
1333267140,516,43,2,471,0,27,0,0,40,106,37,19,9,0,8,0,16,0,130,5,0,38,36
1333267200,493,43,2,448,0,7,0,0,40,106,38,15,9,0,7,0,15,0,130,5,0,37,39
1333267260,498,43,2,453,0,7,0,0,40,106,37,19,9,0,7,0,15,0,129,5,0,37,42
1333267320,498,41,2,455,0,7,0,0,41,107,38,15,9,0,8,0,14,0,129,5,0,37,45
1333267380,365,41,0,324,0,7,0,0,40,106,38,15,9,0,8,0,12,0,7,5,0,38,39
1333267440,370,43,0,327,0,7,0,0,40,107,38,19,9,0,8,0,12,0,7,5,0,39,36
1333267500,365,43,0,322,0,7,0,0,42,106,38,15,9,0,7,0,13,0,7,5,0,38,35
1333267560,511,194,2,315,0,7,0,0,40,107,37,15,9,0,7,0,13,0,7,5,0,39,29
1333267620,498,178,2,318,0,7,0,0,40,106,37,15,9,0,8,0,12,0,7,5,0,38,34
1333267680,502,173,0,329,0,7,0,0,43,107,37,19,9,0,7,0,13,0,7,5,0,38,37
1333267740,493,175,2,316,0,7,0,0,40,106,38,15,9,0,8,0,13,0,7,5,0,38,30
1333267800,498,173,0,325,0,7,0,0,40,106,38,19,9,0,7,0,13,0,7,5,0,38,36
1333267860,3235,171,4,3060,0,7,0,0,30,114,2813,15,9,0,7,0,13,0,10,5,0,37,0
1333267920,2166,175,2,1989,0,7,0,0,40,114,1557,15,9,0,8,0,13,0,148,5,0,38,35
1333267980,2303,171,0,2132,0,6,0,0,40,115,1696,15,9,0,8,0,13,0,135,5,0,38,52
1333268040,2353,171,2,2180,0,6,0,0,40,114,1754,15,9,0,8,0,13,0,131,5,0,38,47
1333268100,2371,171,2,2198,0,6,0,0,40,115,1775,19,9,0,8,0,13,0,129,5,0,38,41
1333268160,2344,169,0,2175,0,7,0,0,40,113,1753,15,9,0,8,0,13,0,130,5,0,37,45
1333268220,2362,171,0,2191,0,7,0,0,40,115,1763,19,9,0,7,0,13,0,128,5,0,39,46
1333268280,2248,41,0,2207,0,7,0,0,41,115,1777,15,9,0,8,0,13,0,127,5,0,37,53
1333268340,2252,43,0,2209,0,7,0,0,40,113,1784,19,9,0,8,0,13,0,124,5,0,38,49
1333268400,2252,43,2,2207,0,7,0,0,40,114,1786,15,9,0,7,0,13,0,123,5,0,38,50
1333268460,2262,43,4,2215,0,7,0,0,41,114,1790,15,9,0,7,0,13,0,122,5,0,38,54
1333268520,2307,41,2,2264,0,7,0,0,40,113,1798,15,9,0,7,0,13,0,1,5,0,38,218
1333268580,2252,43,0,2209,0,6,0,0,40,114,1798,15,9,0,8,0,13,0,0,5,0,38,163
1333268640,2262,41,2,2219,0,7,0,0,42,113,1802,18,9,0,7,0,13,0,0,5,0,38,165
1333268700,2257,43,2,2212,0,7,0,0,40,113,1807,15,9,0,8,0,13,0,0,5,0,38,157
1333268760,2262,43,2,2217,0,6,0,0,40,113,1810,15,9,0,7,0,12,0,0,5,0,37,163
1333268820,2257,41,2,2214,0,6,0,0,45,114,1811,19,9,0,8,0,11,0,0,5,0,38,148
1333268880,2257,43,0,2214,0,7,0,0,40,114,1813,15,9,0,7,0,11,0,1,5,0,38,154
1333268940,2266,43,0,2223,0,7,0,0,40,115,1814,19,9,0,7,0,11,0,0,5,0,38,158
1333269000,2257,43,0,2214,0,7,0,0,30,114,1818,15,9,0,7,0,10,0,0,5,0,37,162
1333269060,2262,41,0,2221,0,6,0,0,40,114,1817,15,9,0,8,0,10,0,0,5,0,38,159
1333269120,2262,43,2,2217,0,7,0,0,40,114,1821,19,9,0,7,0,10,0,0,5,0,37,148
1333269180,2166,43,0,2123,0,7,0,0,40,114,1822,15,9,0,7,0,9,0,0,5,0,37,58
1333269240,2161,41,0,2120,0,7,0,0,41,114,1824,15,9,1,7,0,9,0,1,5,0,37,50
1333269300,2166,43,4,2119,0,7,0,0,40,114,1822,19,8,0,7,0,9,0,0,5,0,38,50
1333269360,2161,41,2,2118,0,7,0,0,40,114,1821,15,9,0,8,0,8,0,0,5,0,39,52
1333269420,456,182,0,274,0,6,0,0,40,107,1,15,9,0,8,0,8,0,0,5,0,38,37
1333269480,452,175,0,277,0,6,0,0,40,107,1,15,9,0,8,0,8,0,0,5,0,37,41
1333269540,447,173,2,272,0,7,0,0,40,106,1,17,9,0,8,0,7,0,0,5,0,38,34
1333269600,452,173,2,277,0,7,0,0,42,106,1,15,9,0,7,0,7,0,0,5,0,39,39
1333269660,438,169,2,267,0,7,0,0,40,107,1,15,9,0,8,0,7,0,0,5,0,38,30
1333269720,447,171,2,274,0,7,0,0,40,106,1,18,8,0,8,0,6,0,0,5,0,37,38
1333269780,452,171,0,281,0,7,0,0,43,106,1,15,9,0,7,0,6,0,0,5,0,38,44
1333269840,443,166,2,275,0,7,0,0,40,107,1,15,9,0,8,0,6,0,1,5,0,39,37
1333269900,443,171,4,268,0,7,0,0,40,107,1,19,9,0,8,0,6,0,0,5,0,38,28
1333269960,429,166,0,263,0,7,0,0,31,106,0,15,9,0,8,0,6,0,0,5,0,38,38
1333270020,438,169,4,265,0,7,0,0,40,106,1,15,9,0,8,0,6,0,0,5,0,39,29
1333270080,324,41,2,281,0,7,0,0,40,107,1,19,9,0,7,0,6,0,0,5,0,39,41
1333270140,319,43,0,276,0,7,0,0,40,107,1,15,9,0,7,0,5,0,0,5,0,38,42
