REQ_SERIAL,RISUID,reson  bik,tavalod,tahol,ttakafol,basavad-bisavad,RQ_RLDATE,elat-gath,RISUID,edu,mablag,age,label 
2.57E+12,43287420,2,13540520,2,3,1,,1,43287420,,3897000,43,1
2.57E+12,43420911,1,13490206,2,3,1,13,1,43420911,,2196000,48,1
2.57E+12,43428052,1,13600107,1,0,1,,1,43428052,,2196000,37,1
2.57E+12,43287437,12,13660630,2,0,1,,1,43287437,20,9299310,31,1
2.57E+12,43258052,3,13360609,2,0,1,,1,43258052,,9299310,61,1
2.57E+12,43264830,2,13340918,2,1,1,,1,43264830,,8121660,62,1
2.57E+12,43267228,2,13410201,2,0,1,,1,43267228,,3303000,56,1
2.57E+12,43273644,1,13420702,2,4,1,13,1,43273644,,2196000,55,1
2.57E+12,43251966,1,13260610,2,4,2,,1,43251966,,2635200,71,1
2.57E+12,43257202,1,13370816,2,4,1,13,1,43257202,,2196000,59,1
2.57E+12,43422859,1,13580614,1,0,1,,1,43422859,,2635200,39,1
2.57E+12,43287585,1,13571220,2,2,1,,1,43287585,,3303000,39,1
2.57E+12,33083325,1,13550105,2,2,1,13,1,33083325,,2196000,42,1
2.57E+12,43408853,1,13530204,2,4,1,13,1,43408853,,2196000,44,1
2.57E+12,43258744,2,13440715,2,2,1,13,1,43258744,,2196000,52,1
2.57E+12,43287608,1,13691009,1,0,1,,1,43287608,,3030000,27,1
2.57E+12,40653419,2,13450229,2,4,1,,1,40653419,,3897000,52,1
2.57E+12,43425486,1,13350909,2,3,1,,1,43425486,13,8121660,61,1
2.57E+12,43425486,1,13350909,2,3,1,,1,43425486,13,2635200,61,1
2.57E+12,43425486,12,13350909,2,1,1,,1,43425486,13,8121660,61,1
2.57E+12,43425486,12,13350909,2,1,1,,1,43425486,13,2635200,61,1
2.57E+12,43916839,1,13540904,2,2,1,,1,43916839,17,8121660,42,1
2.57E+12,43916839,1,13540904,2,2,1,,1,43916839,17,3030000,42,1
2.57E+12,43916839,2,13540904,2,2,1,,1,43916839,17,8121660,42,1
2.57E+12,43916839,2,13540904,2,2,1,,1,43916839,17,3030000,42,1
2.57E+12,43287522,6,13650101,2,1,1,,1,43287522,14,3303000,32,1
2.57E+12,43427437,1,13580601,2,0,1,,1,43427437,,2635200,39,1
2.57E+12,43424059,1,13620520,2,0,1,,1,43424059,,3030000,35,1
2.57E+12,10438340,12,13580408,2,3,1,,1,10438340,,6089100,39,1
2.57E+12,43261312,1,13580701,2,3,1,13,1,43261312,,2196000,39,1
2.57E+12,43429308,12,13610802,2,4,1,,1,43429308,,9299310,35,1
2.57E+12,43287636,2,13660401,2,2,1,,1,43287636,17,9299310,31,1
2.57E+12,24813956,2,13541001,2,1,1,,1,24813956,,3897000,42,1
2.57E+12,43287543,12,13480716,2,2,1,,1,43287543,13,9299310,48,1
