listed_category,restaurant_name,sentiment,user_review
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"50 minute wait. We got into the line at 12:22 and got our food at 10 minutes past one. If you have that kind of time this place worth the visit. We got two small bowls of Singaporean style ramen and we both enjoyed it a lot!The noodles, the broth, all the dressings were phenomenal.  The slow cooked egg was silky and creamy. Chirashi pork was delish! My boyfriend wants to come back here again after the rush hour, as you can see the line getting significantly shorter after 1:30pm. And they are open till 7:30Also since it was hard for me to find the food center I bookmarked Gayatri Restaurant, the place right outside of it, so it's easy to find it next time. The hawker center is two stories, and the Noodles are in the ground level.$7 SGD per small bowl of ramen. I think it's worth it."
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"The noodles definitely achieve the shop's goal of serving ""gourmet noodles at hawker prices."" The flavors in the dish are extremely fresh and the broth is very well-seasoned. 4 stars just because the service - while trying to operate most efficiently in a small space - can be a bit awkward, as you're prompted to state your order while still halfway down the line, at a point when you can't actually read the menu, so it's tough to decide any additions / modifications you may want to make to the order other than the size of the portion. Although the wait is not nearly as bad as other reviews make it out to be - once I had located the stall, I maybe waited 20 mins in total between joining the line and receiving my food at 12:30pm, peak lunch hour."
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"This Singaporean take on ramen is special. Each ingredient - the egg, beef, wonton, etc - is delicately and carefully prepared, and assembled into one delicious bowl. Queue nowhere near as bad as people here have suggested (30~ minutes at 1220 on a Thursday) for a (by hawker standards pricey) $9 bowl of ramen."
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"I was intrigued when I heard that there's a Singapore-style Ramen. My friend, who lives there brought me here when I visited last July. For me, this Ramen tasted like your typical wonton noodles with a lot of add-ons. Aside from wontons, they added a runny egg, potato crisp covered prawn and char siu. I like how they thought about making this bowl of noodles in a typical hawker set-up. Overall, I would say it's worth a try!"
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"Yum yum yum! What a great way to take in the people watching experience that is Hawker Center by diving into this delicious experience. I love the take on the Ramen, this is more my style than the traditional Ramen so I can see why authentic Ramen lovers may not be as thrilled about this remix as others. The ingredients were so good and the experience in general made it one of my favorite places in Singapore!"
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"I will never look at ramen the same again...Singaporean style ramen, is how they describe this spot. It's located on the bottom floor of the Amoy hawker stand. I came right when they opened, because I knew there'd be a long line. Around lunch time, this place is packed with business people on their lunch break. They have three sizes and I went with the medium. Get the chili!! Once you get your bowl, mix it all up! Their cha-su is probably the best I've ever had!! Their HK style wontons were beyond amazing! Their crispy wrapped prawn was nice and crunchy! And their egg cooked to perfection! I've never anything so good and it's a must stop if you're in Singapore!!"
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"Singaporean-style ramen? Yes, please! Came to the Amoy Street Food Centre with a mission to eat at Noodle Story. It's on the first floor and has a really nice sign and exterior. And a long line of people waiting for food, which is a good sign. I waited like 20-25 minutes to order. There's just one thing, the noodles, but you can get small, medium, or large. And you can add on extra sides (like an extra egg or more HK style wontons). The lady behind me said that the larger sizes just come with more noodles. After I placed my order for a small bowl, the light for the sign went out. The lady behind me said that that meant they ran out of stuff! I had such good timing! The noodles were SO delicious! No broth. Noodles were amazing. The hard-boiled egg was cooked perfectly. The potato wrapped shrimp was super tasty. And the wontons and chashu pork were yummy! A perfect 10. My noodles also came with a soup. Totally worth the wait!!!"
"Food Stands, Ramen, Singaporean",A Noodle Story,1,Our last day in town and we got there around 2pm and they were sold out as we were in line.  The young owner explained that they ran out of a few toppings.  We said we didn't care and we would be happy if he can give us what he has left.  The noodle was fine but the chef owner was so kind that the experience was a good one.  We took pictures with the chef and got our noodle story as the last customer that day.
"Food Stands, Ramen, Singaporean",A Noodle Story,-1,"Visited this shop approximately a month ago. Came with a high expectation amid the fanfare generated by the Michelin announcement, and the plethora of cool pictures on Instagram.Ordered the jumbo plate and it was.... okay. Many people loved its concept of a Singapore-style ramen, but it was fusion-confusion for me. Personally, I found it pretty weird to be eating a wanton (Chinese dish) immediately after a cha-shu (Japanese dish), In entirety, the taste profiles of the ingredients just did not blend elegantly enough. In addition, I found the noodles too cluttered in a lump, making it tough to eat. Finally, the chilli looked cool, but tasted pretty dry.Nonetheless, I was deeply impressed by the quality of the ingredients, and that the owners decided not to cut corners despite the price point and hawker-food positioning. The potato wrapped prawn was also pretty incredible - crunchy and tasty. And yes, the bowl of noodle was full of cool ingredients that would make it very much Instagram-worthy.Does it deserve a Bib Gourmand? Probably not for me, although the owners are still pretty young and will only go up from there. I applaud their audacity to sort of reinvent the wheel, and I look forward to trying their dish again in a year."
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"My bowl of noodles was meticulously prepared, reminiscent of the care that goes into a bowl of Japanese ramen.It was certainly a step up in ingredient quality from the usual hawker fare.I do however agree with other reviewers that the dumplings and chashu lack an umami punch. My guess is that they don't use MSG, but unlike Japanese ramen shops, don't have enough ingredients that contribute their own umami.Of course, these are small grouses given the very reasonable price of $5.5-$7.5. It's certainly worth a try if you're near Amoy."
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"I think that it may be wrong to come to this stall with the intention of tasting typical wanton mee. The stall owner describes this as a Singaporean style ramen. An apt description.Everything here is done as per ramen standards. The soup, the pork belly( imported from Spain and cooked sous vide for 36 hours) to the potato wrapped prawns and HK style wanton. Careful attention and detailed work. The result? A damn good bowl of wan ton mee. Don't expect the fiery chilli like eng's or the one at da Jie. But come here if you want a take on wanton mee by a new generation of chefs."
"Food Stands, Ramen, Singaporean",A Noodle Story,1,"Fight through the Hawker market to find a diamond in the lower class diamonds. Who are we kidding? Everything is delicious at these Hawker markets. But this place. Wow. Amazing 'Singaporean' noodles. Tiny place to make them and yet perfection each time. If you are in Singapore for one day, this is the place for lunch!"
"Food Stands, Ramen, Singaporean",A Noodle Story,-1,"It was pretty good but not amazing, somehow. Perhaps I was just missing the typical random stalks of veg that come with normal wanton mee.. Also I prefer normal char siew to the cha shu that they provided here (think layers of fat + meat, I really do not like fat in my meat).Anyway, $5 noodle bowl does come with a fair bit of stuff - yummy potato strip-wrapped prawn (deep fried and certainly crisp! nice texture); 3 slices cha shu; 3 pcs wonton (v bouncy w prawn inside); fried shallots; some seasoning or other which adds some sweetness to the sauce. Pretty gd sambal too! Mee is the wonton mee texture, probably my favourite type of noodles :)It does take a while to get your food though.. Oh, it also comes with a bowl of soup."
Street Vendors,Ah Heng Curry Chicken Bee Hoon Mee,1,"Curry noodle.  One of the best in Singapore.  Micheline guide rated.  Honestly, what else can you say?  Savory broth, not too spicy for this American palate, tender juicy chicken, fishcake slices, bits of potato.  If you're new to this, I recommend getting the smallest bowl (which is still huge), and the yellow noodles."
Street Vendors,Ah Heng Curry Chicken Bee Hoon Mee,1,"If you fancy a good bowl of curry chicken bee hoon mee, come here!  Located in Hong Lim  hawker center, this place is a MAZE! - it is as confusing as Mustaffa shopping center but just as amazing. Some of the food stalls here are listed in the Michelin guide Singapore and Ah Heng is one of them.  If you're here during lunch, be prepared to queue. The line can be long, but it does move quickly. The server / staffs manning the stall is professional enough to get your order and prepare your bowl of goodness under 10 mins. It's that impressive! I've tried other similar stalls in the CBD area and this one is less intense as compared to the others. The curry soup is not as thick and ""creamy"" (the way I like it) and once mixed with the aromatic chili served separately, hell will break loose... I mean, be prepared to sweat it out while indulging in a bowl of very delicious curry noodles. I ordered a large bowl ($5.50 if not mistaken) and the portion is just perfect. The noodles is topped with a generous portion of steamed chicken depending on the size you order. I am definitely coming back though it might take some time since there are so many food stalls to try and explore and before I know it, I might lose my way finding Ah  Heng Curry Chicken Bee Hoon Mee stall again."
